x	y	z
0	4.36e-09	0
0	5.668e-08	0
0	1.09e-07	0
0	1.6132e-07	0
0	2.1364e-07	0
0	2.6596e-07	0
0	3.1828e-07	0
0	3.706e-07	0
0	4.2292e-07	0
0	4.7524e-07	0
0	5.2756e-07	0
0	5.7988e-07	0
0	6.322e-07	0
0	6.8452e-07	0
0	7.3684e-07	0


x	y	z
1.16037e-08	3.82403e-08	3.51614e-07
-8.83431e-09	8.52745e-08	3.53059e-07
-3.18998e-09	1.21953e-07	2.56316e-07
2.5638e-08	1.57594e-07	2.67402e-07
2.67138e-08	1.99511e-07	2.92646e-07
2.83586e-08	2.4811e-07	3.81317e-07
3.0221e-08	2.98282e-07	4.72948e-07
-7.51526e-09	3.64259e-07	4.57537e-07
7.31127e-09	4.51973e-07	4.13834e-07
7.44065e-09	4.77789e-07	3.58126e-07
1.17787e-08	5.23787e-07	3.76999e-07
1.03807e-08	5.69493e-07	3.83729e-07
-3.10442e-08	6.27652e-07	5.45151e-07
-7.45492e-09	6.70662e-07	5.28511e-07
-1.89062e-08	7.21991e-07	5.30225e-07


